city,country,Gender,Date,Card Type,Exp Type,amount,day_name,holiday_name,holiday_type
Delhi," India",Female,2014-10-29,Gold,Bills,82475,Wednesday,"Chhat Puja (Pratihar Sashthi/Surya Sashthi)","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-08-22,Platinum,Bills,32555,"Friday   ",,
Bengaluru," India",Female,2014-08-27,Silver,Bills,101738,Wednesday,,
"Greater Mumbai"," India",Female,2014-04-12,Signature,Bills,123424,"Saturday ",,
Bengaluru," India",Female,2015-05-05,Gold,Bills,171574,"Tuesday  ",,
Delhi," India",Female,2014-09-08,Silver,Bills,100036,"Monday   ",,
Delhi," India",Female,2015-02-24,Gold,Bills,143250,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-06-26,Platinum,Bills,150980,"Thursday ",,
Delhi," India",Female,2014-03-28,Silver,Bills,192247,"Friday   ",,
Delhi," India",Female,2014-09-01,Platinum,Bills,67932,"Monday   ",,
Delhi," India",Female,2014-06-22,Platinum,Bills,280061,"Sunday   ",,
"Greater Mumbai"," India",Female,2013-12-07,Signature,Bills,278036,"Saturday ",,
"Greater Mumbai"," India",Female,2014-08-07,Gold,Bills,19226,"Thursday ",,
Delhi," India",Female,2014-04-27,Signature,Bills,254359,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-08-15,Signature,Bills,302834,"Friday   ","Independence Day","Gazetted Holiday"
"Greater Mumbai"," India",Female,2014-11-28,Platinum,Bills,647116,"Friday   ",,
"Greater Mumbai"," India",Female,2014-06-14,Signature,Bills,421878,"Saturday ",,
"Greater Mumbai"," India",Female,2015-03-30,Gold,Bills,986379,"Monday   ",,
"Greater Mumbai"," India",Female,2014-03-15,Platinum,Bills,213047,"Saturday ",,
"Greater Mumbai"," India",Female,2013-11-09,Platinum,Bills,735566,"Saturday ",,
Delhi," India",Female,2014-04-04,Signature,Bills,366102,"Friday   ",,
Delhi," India",Female,2014-07-01,Signature,Bills,809623,"Tuesday  ",,
"Greater Mumbai"," India",Female,2015-03-27,Silver,Bills,467014,"Friday   ",,
Ahmedabad," India",Female,2013-10-11,Gold,Bills,668568,"Friday   ","Maha Saptami","Restricted Holiday"
Ahmedabad," India",Female,2014-03-26,Gold,Bills,339112,Wednesday,,
Delhi," India",Female,2014-09-27,Silver,Bills,622170,"Saturday ",,
Bengaluru," India",Female,2014-03-23,Platinum,Bills,434427,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-05-17,Signature,Bills,655846,"Saturday ",,
Bengaluru," India",Female,2015-01-18,Platinum,Bills,987935,"Sunday   ",,
Delhi," India",Female,2015-04-18,Gold,Bills,702774,"Saturday ",,
Bengaluru," India",Female,2014-07-31,Signature,Bills,225392,"Thursday ",,
"Greater Mumbai"," India",Female,2015-02-11,Gold,Bills,296573,Wednesday,,
Ahmedabad," India",Female,2013-11-24,Platinum,Bills,227702,"Sunday   ","Guru Tegh Bahadur's Martyrdom Day","Restricted Holiday"
Ahmedabad," India",Female,2014-11-08,Gold,Bills,864090,"Saturday ",,
Ahmedabad," India",Female,2014-09-06,Signature,Bills,440605,"Saturday ",Onam,"Restricted Holiday"
Ahmedabad," India",Female,2015-03-24,Platinum,Bills,954660,"Tuesday  ",,
Ahmedabad," India",Female,2014-01-01,Signature,Bills,255577,Wednesday,"New Year's Day","Restricted Holiday"
Ahmedabad," India",Female,2014-07-12,Silver,Bills,337352,"Saturday ","Guru Purnima",Observance
Ahmedabad," India",Female,2014-02-04,Platinum,Bills,660244,"Tuesday  ","Vasant Panchami","Restricted Holiday"
Delhi," India",Female,2015-02-03,Silver,Bills,401351,"Tuesday  ","Guru Ravidas Jayanti","Restricted Holiday"
Delhi," India",Female,2013-10-27,Platinum,Bills,678842,"Sunday   ",,
Delhi," India",Female,2014-05-11,Gold,Bills,478861,"Sunday   ","Mother’s Day",Observance
Bengaluru," India",Female,2014-11-10,Platinum,Bills,804938,"Monday   ",,
Delhi," India",Female,2015-01-30,Silver,Bills,888341,"Friday   ",,
Bengaluru," India",Female,2014-04-19,Platinum,Bills,262414,"Saturday ",,
Bengaluru," India",Female,2014-09-08,Gold,Bills,249353,"Monday   ",,
Ahmedabad," India",Female,2013-12-10,Gold,Bills,892016,"Tuesday  ",,
Ahmedabad," India",Female,2013-11-04,Platinum,Bills,313626,"Monday   ","Govardhan Puja","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-06-01,Gold,Bills,314366,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-04-27,Signature,Bills,551340,"Sunday   ",,
Delhi," India",Female,2013-10-04,Signature,Bills,735037,"Friday   ",,
"Greater Mumbai"," India",Female,2014-12-31,Platinum,Bills,574023,Wednesday,"New Year's Eve",Observance
Ahmedabad," India",Female,2013-12-21,Signature,Bills,402300,"Saturday ","December Solstice",Season
Delhi," India",Female,2013-12-07,Signature,Bills,733125,"Saturday ",,
"Greater Mumbai"," India",Female,2014-02-07,Signature,Bills,545977,"Friday   ",,
Bengaluru," India",Female,2015-05-13,Silver,Bills,371572,Wednesday,,
Ahmedabad," India",Female,2015-01-28,Signature,Bills,326283,Wednesday,,
Delhi," India",Female,2014-12-09,Platinum,Bills,279051,"Tuesday  ",,
Delhi," India",Female,2013-10-08,Platinum,Bills,900101,"Tuesday  ",,
Ahmedabad," India",Female,2014-04-24,Silver,Bills,545286,"Thursday ",,
Delhi," India",Female,2015-01-13,Platinum,Bills,722587,"Tuesday  ",,
Bengaluru," India",Female,2014-03-14,Platinum,Bills,411062,"Friday   ",,
Delhi," India",Female,2014-02-27,Platinum,Bills,660910,"Thursday ","Maha Shivaratri/Shivaratri","Gazetted Holiday"
"Greater Mumbai"," India",Female,2013-10-29,Signature,Bills,557370,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-06-22,Platinum,Bills,549794,"Sunday   ",,
Delhi," India",Female,2014-01-23,Platinum,Bills,340133,"Thursday ",,
Bengaluru," India",Female,2013-11-10,Gold,Bills,265417,"Sunday   ",,
"Greater Mumbai"," India",Female,2013-12-13,Platinum,Bills,358185,"Friday   ",,
"Greater Mumbai"," India",Female,2014-03-22,Gold,Bills,991685,"Saturday ",,
"Greater Mumbai"," India",Female,2015-01-13,Gold,Bills,533762,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-05-08,Gold,Bills,829742,"Thursday ",,
Delhi," India",Female,2014-02-18,Silver,Bills,441527,"Tuesday  ",,
Delhi," India",Female,2013-10-04,Signature,Bills,550782,"Friday   ",,
"Greater Mumbai"," India",Female,2014-06-14,Platinum,Bills,835872,"Saturday ",,
Ahmedabad," India",Female,2014-08-24,Silver,Bills,540497,"Sunday   ",,
"Greater Mumbai"," India",Female,2015-04-02,Platinum,Bills,525977,"Thursday ","Mahavir Jayanti","Gazetted Holiday"
"Greater Mumbai"," India",Female,2015-04-02,Platinum,Bills,525977,"Thursday ","Maundy Thursday","Observance, Christian"
"Greater Mumbai"," India",Female,2014-06-27,Gold,Bills,789393,"Friday   ",,
"Greater Mumbai"," India",Female,2015-02-06,Platinum,Bills,689478,"Friday   ",,
Bengaluru," India",Female,2014-03-29,Silver,Bills,499079,"Saturday ",,
Ahmedabad," India",Female,2014-04-22,Platinum,Bills,665107,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-10-14,Platinum,Bills,998077,"Tuesday  ",,
Ahmedabad," India",Female,2014-02-02,Silver,Bills,934205,"Sunday   ",,
Bengaluru," India",Female,2015-04-01,Platinum,Bills,823426,Wednesday,,
Ahmedabad," India",Female,2015-01-13,Signature,Bills,282910,"Tuesday  ",,
Bengaluru," India",Female,2014-03-27,Gold,Bills,418675,"Thursday ",,
Ahmedabad," India",Female,2015-02-17,Silver,Bills,804949,"Tuesday  ","Maha Shivaratri/Shivaratri","Gazetted Holiday"
Bengaluru," India",Female,2015-02-10,Gold,Bills,686601,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-02-26,Silver,Bills,561220,Wednesday,,
"Greater Mumbai"," India",Female,2015-05-07,Gold,Bills,762534,"Thursday ",,
Bengaluru," India",Female,2014-01-05,Gold,Bills,327947,"Sunday   ",,
Bengaluru," India",Female,2014-04-07,Gold,Bills,492986,"Monday   ",,
Delhi," India",Female,2015-02-20,Signature,Bills,369237,"Friday   ",,
Bengaluru," India",Female,2015-01-19,Platinum,Bills,983839,"Monday   ",,
Ahmedabad," India",Female,2014-11-14,Gold,Bills,776716,"Friday   ",,
"Greater Mumbai"," India",Female,2014-07-21,Gold,Bills,664632,"Monday   ",,
Bengaluru," India",Female,2015-02-03,Gold,Bills,466727,"Tuesday  ","Guru Ravidas Jayanti","Restricted Holiday"
Bengaluru," India",Female,2013-11-01,Gold,Bills,896384,"Friday   ",,
Delhi," India",Female,2013-12-07,Signature,Bills,712001,"Saturday ",,
"Greater Mumbai"," India",Female,2014-08-05,Silver,Bills,246865,"Tuesday  ",,
"Greater Mumbai"," India",Female,2015-01-08,Signature,Bills,858729,"Thursday ",,
Delhi," India",Female,2015-04-11,Platinum,Bills,581882,"Saturday ",,
Delhi," India",Male,2014-05-19,Gold,Fuel,285354,"Monday   ",,
"Greater Mumbai"," India",Female,2015-02-15,Signature,Bills,646426,"Sunday   ",,
Bengaluru," India",Female,2015-03-24,Silver,Bills,687088,"Tuesday  ",,
Bengaluru," India",Female,2013-10-13,Signature,Bills,973026,"Sunday   ",Dussehra,"Gazetted Holiday"
"Greater Mumbai"," India",Female,2015-04-24,Silver,Bills,944398,"Friday   ",,
Ahmedabad," India",Female,2014-11-09,Platinum,Bills,414422,"Sunday   ",,
Bengaluru," India",Female,2015-02-04,Signature,Bills,408503,Wednesday,,
Bengaluru," India",Female,2014-03-06,Signature,Bills,984466,"Thursday ",,
"Greater Mumbai"," India",Female,2014-03-27,Gold,Bills,919997,"Thursday ",,
"Greater Mumbai"," India",Female,2013-11-13,Signature,Bills,535101,Wednesday,,
"Greater Mumbai"," India",Female,2013-10-22,Signature,Bills,978301,"Tuesday  ","Karaka Chaturthi (Karva Chauth)","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-09-27,Gold,Bills,880406,"Saturday ",,
Ahmedabad," India",Female,2014-11-14,Silver,Bills,447241,"Friday   ",,
Bengaluru," India",Female,2013-10-21,Platinum,Bills,382191,"Monday   ",,
Bengaluru," India",Female,2015-05-15,Silver,Bills,775859,"Friday   ",,
Bengaluru," India",Female,2014-03-21,Platinum,Bills,832637,"Friday   ",,
Bengaluru," India",Female,2015-04-03,Platinum,Bills,458526,"Friday   ","Good Friday","Gazetted Holiday"
Ahmedabad," India",Female,2015-04-06,Signature,Bills,440995,"Monday   ",,
Ahmedabad," India",Female,2013-11-05,Platinum,Bills,490128,"Tuesday  ","Bhai Duj","Restricted Holiday"
Delhi," India",Female,2013-10-07,Platinum,Bills,897079,"Monday   ",,
Delhi," India",Female,2014-10-31,Gold,Bills,431948,"Friday   ",Halloween,Observance
Bengaluru," India",Female,2014-04-03,Silver,Bills,228072,"Thursday ",,
Delhi," India",Female,2013-11-21,Gold,Bills,757649,"Thursday ",,
Delhi," India",Female,2014-05-11,Signature,Bills,919877,"Sunday   ","Mother’s Day",Observance
"Greater Mumbai"," India",Female,2014-05-23,Gold,Bills,605615,"Friday   ",,
Bengaluru," India",Female,2015-05-22,Platinum,Bills,500852,"Friday   ",,
"Greater Mumbai"," India",Female,2015-02-15,Signature,Bills,488136,"Sunday   ",,
Delhi," India",Female,2014-06-16,Gold,Bills,937828,"Monday   ",,
Delhi," India",Female,2014-01-27,Gold,Bills,315873,"Monday   ",,
"Greater Mumbai"," India",Female,2015-05-20,Silver,Bills,567623,Wednesday,,
"Greater Mumbai"," India",Female,2013-10-29,Platinum,Bills,555123,"Tuesday  ",,
Bengaluru," India",Female,2014-04-20,Gold,Bills,498843,"Sunday   ","Easter Day","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-05-23,Silver,Bills,752610,"Friday   ",,
"Greater Mumbai"," India",Female,2015-03-11,Platinum,Bills,494540,Wednesday,,
Delhi," India",Female,2013-10-27,Gold,Bills,996754,"Sunday   ",,
Ahmedabad," India",Female,2014-07-14,Signature,Bills,245572,"Monday   ",,
Delhi," India",Female,2014-04-18,Gold,Bills,974384,"Friday   ","Good Friday","Gazetted Holiday"
Ahmedabad," India",Female,2014-03-25,Silver,Bills,846635,"Tuesday  ",,
Ahmedabad," India",Female,2014-09-01,Silver,Bills,635473,"Monday   ",,
Delhi," India",Female,2015-03-23,Gold,Bills,224510,"Monday   ",,
Delhi," India",Female,2015-01-24,Silver,Bills,478671,"Saturday ","Vasant Panchami","Restricted Holiday"
"Greater Mumbai"," India",Female,2013-10-04,Gold,Bills,990700,"Friday   ",,
Delhi," India",Female,2014-03-14,Gold,Bills,228565,"Friday   ",,
Bengaluru," India",Female,2014-01-03,Silver,Bills,297732,"Friday   ",,
"Greater Mumbai"," India",Female,2014-12-03,Signature,Bills,559262,Wednesday,,
Bengaluru," India",Female,2014-07-01,Signature,Bills,809907,"Tuesday  ",,
Ahmedabad," India",Female,2014-08-21,Signature,Bills,428316,"Thursday ",,
Ahmedabad," India",Female,2014-03-05,Signature,Bills,275065,Wednesday,,
Bengaluru," India",Female,2014-04-20,Silver,Bills,845653,"Sunday   ","Easter Day","Restricted Holiday"
Ahmedabad," India",Female,2013-11-20,Signature,Bills,236296,Wednesday,,
Bengaluru," India",Female,2014-09-25,Signature,Bills,440572,"Thursday ","First Day of Sharad Navratri","Observance, Hinduism"
Ahmedabad," India",Female,2015-02-06,Gold,Bills,478115,"Friday   ",,
Bengaluru," India",Female,2013-10-26,Gold,Bills,897621,"Saturday ",,
"Greater Mumbai"," India",Female,2015-05-06,Signature,Bills,554281,Wednesday,,
Delhi," India",Female,2014-09-30,Silver,Bills,245452,"Tuesday  ","First Day of Durga Puja Festivities","Observance, Hinduism"
Delhi," India",Female,2014-01-17,Platinum,Bills,365045,"Friday   ",,
"Greater Mumbai"," India",Female,2015-01-11,Gold,Bills,496047,"Sunday   ",,
Bengaluru," India",Female,2015-02-11,Silver,Bills,466814,Wednesday,,
Bengaluru," India",Female,2014-11-10,Gold,Bills,835177,"Monday   ",,
Delhi," India",Female,2015-01-12,Silver,Bills,219698,"Monday   ",,
Bengaluru," India",Female,2014-10-18,Silver,Bills,784541,"Saturday ",,
Delhi," India",Female,2013-10-25,Signature,Bills,576994,"Friday   ",,
Bengaluru," India",Female,2015-05-15,Gold,Bills,464663,"Friday   ",,
Bengaluru," India",Female,2014-05-03,Platinum,Bills,380270,"Saturday ",,
