Date,Days,Name,Type
01-jan-14,Wednesday,New Year's Day,Restricted Holiday
07-jan-14,Tuesday,Guru Govind Singh Jayanti,Restricted Holiday
14-jan-14,Tuesday,Pongal,Restricted Holiday
14-jan-14,Tuesday,Makar Sankranti,Restricted Holiday
14-jan-14,Tuesday,Milad un-Nabi,Gazetted Holiday
26-jan-14,Sunday,Republic Day,Gazetted Holiday
31-jan-14,Friday,Lunar New Year,Observance
04-feb-14,Tuesday,Vasant Panchami,Restricted Holiday
14-feb-14,Friday,Guru Ravidas Jayanti,Restricted Holiday
14-feb-14,Friday,Valentine's Day,Observance
19-feb-14,Wednesday,Shivaji Jayanti,Restricted Holiday
24-feb-14,Monday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
27-feb-14,Thursday,Maha Shivaratri/Shivaratri,Gazetted Holiday
16-mar-14,Sunday,Holika Dahana,Restricted Holiday
17-mar-14,Monday,Holi,Restricted Holiday
20-mar-14,Thursday,March Equinox,Season
31-mar-14,Monday,Chaitra Sukhladi,Restricted Holiday
31-mar-14,Monday,Ugadi,Restricted Holiday
31-mar-14,Monday,Gudi Padwa,Restricted Holiday
08-apr-14,Tuesday,Rama Navami,Gazetted Holiday
13-apr-14,Sunday,Mahavir Jayanti,Gazetted Holiday
14-apr-14,Monday,Vaisakhi,Restricted Holiday
14-apr-14,Monday,Ambedkar Jayanti,Observance
15-apr-14,Tuesday,First day of Passover,Observance
15-apr-14,Tuesday,Mesadi / Vaisakhadi,Restricted Holiday
17-apr-14,Thursday,Maundy Thursday,"Observance, Christian"
18-apr-14,Friday,Good Friday,Gazetted Holiday
20-apr-14,Sunday,Easter Day,Restricted Holiday
01-may-14,Thursday,International Worker's Day,Observance
09-may-14,Friday,Birthday of Rabindranath,Restricted Holiday
11-may-14,Sunday,Mother’s Day,Observance
13-may-14,Tuesday,Hazarat Ali's Birthday,Restricted Holiday
14-may-14,Wednesday,Buddha Purnima/Vesak,Gazetted Holiday
15-jun-14,Sunday,Father’s Day,Observance
21-jun-14,Saturday,June Solstice,Season
29-jun-14,Sunday,Rath Yatra,Restricted Holiday
12-jul-14,Saturday,Guru Purnima,Observance
25-jul-14,Friday,Jamat Ul-Vida,Restricted Holiday
03-aug-14,Sunday,Friendship Day,Observance
10-aug-14,Sunday,Raksha Bandhan (Rakhi),Restricted Holiday
15-aug-14,Friday,Independence Day,Gazetted Holiday
17-aug-14,Sunday,Janmashtami (Smarta),Observance
18-aug-14,Monday,Janmashtami,Gazetted Holiday
18-aug-14,Monday,Parsi New Year,Restricted Holiday
29-aug-14,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
06-sep-14,Saturday,Onam,Restricted Holiday
23-sep-14,Tuesday,September Equinox,Season
25-sep-14,Thursday,First Day of Sharad Navratri,"Observance, Hinduism"
30-sep-14,Tuesday,First Day of Durga Puja Festivities,"Observance, Hinduism"
01-oct-14,Wednesday,Maha Saptami,Restricted Holiday
02-oct-14,Thursday,Mahatma Gandhi Jayanti,Gazetted Holiday
02-oct-14,Thursday,Maha Ashtami,Restricted Holiday
03-oct-14,Friday,Dussehra,Gazetted Holiday
06-oct-14,Monday,Bakrid,Gazetted Holiday
11-oct-14,Saturday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
22-oct-14,Wednesday,Naraka Chaturdasi,Restricted Holiday
23-oct-14,Thursday,Diwali/Deepavali,Gazetted Holiday
24-oct-14,Friday,Govardhan Puja,Restricted Holiday
25-oct-14,Saturday,Bhai Duj,Restricted Holiday
29-oct-14,Wednesday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
31-oct-14,Friday,Halloween,Observance
04-nov-14,Tuesday,Muharram/Ashura,Gazetted Holiday
06-nov-14,Thursday,Guru Nanak Jayanti,Gazetted Holiday
24-nov-14,Monday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
17-dec-14,Wednesday,First Day of Hanukkah,Observance
22-dec-14,Monday,December Solstice,Season
24-dec-14,Wednesday,Last day of Hanukkah,Observance
24-dec-14,Wednesday,Christmas Eve,Restricted Holiday
25-dec-14,Thursday,Christmas,Gazetted Holiday
31-dec-14,Wednesday,New Year's Eve,Observance
